"sample Number","QuickSelect","DeterministicSelect","SelectK_InsertSort"
1,0.072,0.072,0.075
2,0.071,0.071,0.072
3,0.072,0.071,0.071
4,0.070,0.070,0.072
5,0.070,0.071,0.072
6,0.072,0.070,0.071
7,0.072,0.077,0.073
8,0.074,0.069,0.074
9,0.075,0.070,0.070
10,0.070,0.073,0.073
11,0.069,0.071,0.074
12,0.073,0.075,0.071
13,0.073,0.075,0.075
14,0.071,0.071,0.072
15,0.069,0.070,0.071
16,0.070,0.070,0.074
17,0.071,0.073,0.069
18,0.069,0.069,0.075
19,0.073,0.069,0.072
20,0.071,0.070,0.072
21,0.071,0.072,0.071
22,0.071,0.069,0.072
23,0.070,0.069,0.071
24,0.069,0.070,0.072
25,0.072,0.073,0.072
26,0.069,0.059,0.071
27,0.070,0.075,0.071
28,0.062,0.070,0.071
29,0.068,0.072,0.070
30,0.070,0.071,0.070
31,0.073,0.069,0.071
32,0.070,0.069,0.071
33,0.070,0.073,0.073
34,0.069,0.068,0.070
35,0.069,0.070,0.070
36,0.070,0.071,0.070
37,0.072,0.078,0.072
38,0.061,0.070,0.069
39,0.076,0.071,0.071
40,0.071,0.069,0.073
41,0.070,0.069,0.071
42,0.069,0.070,0.069
43,0.073,0.069,0.074
44,0.070,0.061,0.073
45,0.069,0.075,0.069
46,0.071,0.072,0.085
47,0.073,0.071,0.072
48,0.071,0.072,0.071
49,0.077,0.073,0.074
50,0.071,0.070,0.070
51,0.072,0.075,0.070
52,0.071,0.070,0.076
53,0.060,0.071,0.070
54,0.071,0.072,0.072
55,0.074,0.073,0.072
56,0.071,0.071,0.072
57,0.072,0.070,0.075
58,0.074,0.070,0.071
59,0.071,0.074,0.070
60,0.070,0.072,0.072
61,0.074,0.073,0.073
62,0.070,0.070,0.070
63,0.071,0.079,0.076
64,0.071,0.071,0.070
65,0.070,0.071,0.072
66,0.061,0.074,0.069
67,0.069,0.070,0.061
68,0.086,0.074,0.070
69,0.070,0.069,0.074
70,0.070,0.070,0.071
71,0.071,0.069,0.069
72,0.073,0.071,0.073
73,0.073,0.073,0.074
74,0.072,0.070,0.072
75,0.070,0.071,0.070
76,0.072,0.075,0.070
77,0.071,0.069,0.071
78,0.070,0.071,0.073
79,0.070,0.074,0.078
80,0.070,0.071,0.071
81,0.068,0.075,0.072
82,0.069,0.071,0.072
83,0.072,0.070,0.075
84,0.072,0.070,0.071
85,0.071,0.072,0.073
86,0.070,0.068,0.071
87,0.068,0.070,0.071
88,0.076,0.070,0.065
89,0.071,0.069,0.070
90,0.072,0.070,0.072
91,0.071,0.071,0.072
92,0.069,0.069,0.081
93,0.069,0.072,0.071
94,0.072,0.072,0.073
95,0.070,0.071,0.071
96,0.088,0.071,0.075
97,0.073,0.071,0.075
98,0.069,0.073,0.072
99,0.071,0.072,0.087
100,0.075,0.074,0.072
101,0.069,0.070,0.075
102,0.071,0.072,0.072
103,0.071,0.072,0.075
104,0.074,0.074,0.074
105,0.071,0.070,0.071
106,0.071,0.070,0.069
107,0.069,0.072,0.075
108,0.071,0.071,0.070
109,0.061,0.072,0.074
110,0.062,0.070,0.071
111,0.071,0.071,0.071
112,0.070,0.071,0.071
113,0.066,0.073,0.071
114,0.070,0.077,0.070
115,0.075,0.070,0.073
116,0.074,0.072,0.072
117,0.070,0.069,0.072
118,0.071,0.069,0.077
119,0.068,0.071,0.071
120,0.098,0.071,0.074
121,0.074,0.074,0.075
122,0.070,0.075,0.070
123,0.072,0.074,0.070
124,0.070,0.074,0.070
125,0.073,0.073,0.070
126,0.070,0.071,0.071
127,0.061,0.069,0.071
128,0.070,0.070,0.071
129,0.071,0.059,0.072
130,0.069,0.070,0.076
131,0.070,0.069,0.071
132,0.071,0.074,0.071
133,0.072,0.073,0.072
134,0.069,0.070,0.070
135,0.070,0.070,0.075
136,0.073,0.071,0.078
137,0.075,0.072,0.080
138,0.072,0.071,0.073
139,0.073,0.072,0.075
140,0.071,0.074,0.071
141,0.074,0.071,0.074
142,0.071,0.071,0.072
143,0.070,0.071,0.071
144,0.071,0.072,0.074
145,0.076,0.080,0.076
146,0.071,0.072,0.113
147,0.073,0.073,0.072
148,0.069,0.072,0.071
149,0.071,0.070,0.073
150,0.071,0.072,0.072
151,0.071,0.070,0.070
152,0.071,0.069,0.070
153,0.071,0.080,0.070
154,0.071,0.072,0.074
155,0.069,0.069,0.074
156,0.071,0.070,0.070
157,0.073,0.077,0.073
158,0.071,0.069,0.071
159,0.069,0.069,0.070
160,0.074,0.071,0.072
161,0.072,0.073,0.073
162,0.071,0.075,0.071
163,0.076,0.074,0.072
164,0.073,0.070,0.072
165,0.071,0.069,0.071
166,0.070,0.069,0.070
167,0.071,0.069,0.071
168,0.070,0.073,0.070
169,0.073,0.073,0.073
170,0.074,0.069,0.072
171,0.070,0.074,0.072
172,0.070,0.070,0.072
173,0.071,0.075,0.071
174,0.070,0.071,0.071
175,0.071,0.071,0.072
176,0.072,0.071,0.073
177,0.074,0.075,0.072
178,0.072,0.069,0.071
179,0.075,0.075,0.074
180,0.073,0.070,0.073
181,0.074,0.073,0.071
182,0.071,0.074,0.073
183,0.075,0.072,0.073
184,0.071,0.074,0.071
185,0.071,0.070,0.072
186,0.075,0.069,0.070
187,0.072,0.070,0.072
188,0.070,0.070,0.071
189,0.074,0.071,0.075
190,0.074,0.080,0.085
191,0.071,0.072,0.069
192,0.074,0.074,0.078
193,0.071,0.071,0.072
194,0.072,0.072,0.077
195,0.070,0.070,0.069
196,0.062,0.071,0.076
197,0.075,0.075,0.071
198,0.074,0.071,0.072
199,0.071,0.070,0.077
200,0.073,0.077,0.072
